address,name,category
0x000000000006553135e7257017eb200bea3a8dfc,Tornado Cash Recipient,tornado_cash
0x000000000006559cc17f8585acb0ddf7e32b64b1,Contract Deployer,infrastructure
0x0000000000065ff70363ba1b5184078e640cd5f8,Contract Deployer,infrastructure
0x00000000000677b7a39e07f60a2a4f18fad40970,Contract Deployer,infrastructure
0x00000000000699a9a7715dc4aadf936b71feeccc,"X2y2, Opensea User",nft
0x000000000006b92d1ca16b6e55071e8b5626d5d6,Opensea User,nft
0x000000000006d670c2c00e4a8b4c3a74290e3b8b,gamba.eth,social
0x0000000000070514ae8f721d246a94e721513dda,Gnosis_safe: SafeL2_v1_3_0,contracts
0x0000000000071821e8033345a7be174647be0706,Scryprotocol: NostradamusSS,contracts
0x000000000007232d9e1d5ae25a80a0d707e94a4b,Contract Deployer,infrastructure
0x00000000000730639587dcc1541c04406ffe4b7d,Contract Deployer,infrastructure
0x000000000007387027494f8099cef8ee9300df48,Contract Deployer,infrastructure
0x00000000000747d525e898424e8774f7eb317d00,Balancer v2 Flashloan User,infrastructure
0x00000000000753a6296ad26b760e6844e72ddd18,Contract Deployer,infrastructure
0x00000000000762f51d9708543faa94da1a3bf193,Tornado Cash Recipient and Depositor,tornado_cash
0x0000000000076db328a5219cc5b63f62c4a648e1,Tornado Cash Depositor,tornado_cash
0x000000000007700824831b0b57fd046faa37d558,Contract Deployer,infrastructure
0x0000000000078c65a676f9a1f2ae66db0cbdff48,Opensea User,nft
0x00000000000799da73a737f3d48b21cf98ac12e8,Tornado Cash Depositor,tornado_cash
0x000000000007b2ae2b8ccc908839613b3abff68b,Tornado Cash Recipient,tornado_cash
0x000000000007e1ec645acce97fe1fe0fd0a0578e,Transfers Only,op_transfers
0x000000000007e32b7e77e598f82873e24265a85f,Contract Deployer,infrastructure
0x00000000000808540366895339c29b38da0f42ea,Flashbots User,infrastructure
0x0000000000081a1fb7f931bdc2e3806aaa4d81a9,cryptonee.eth,social
0x0000000000085d4780b73119b644ae5ecd22b376,Fiat-backed stablecoin,infrastructure
0x0000000000086013192a2c9a506742a43c916e1e,Contract Deployer,infrastructure
0x000000000008b67fe4d4415d28a692984da35121,Contract Deployer,infrastructure
0x000000000008d26e17f90b47e6c6a2702fbfcabb,Balancer v2 Flashloan User,infrastructure
0x000000000008e4db6a6194c6957df47e30970dc2,Contract Deployer,infrastructure
0x000000000008ebfbfeb245aaf647f6001e3765e2,Hop Bridge User,bridge
0x0000000000092d9b0cb7fdcd2e0bbc6f0007e2ee,Flashbots User,infrastructure
0x0000000000092dd1482686a414a08e64ff1463c2,Contract Deployer,infrastructure
0x000000000009466fb05c270e67e3e8bdfbbe0244,Contract Deployer,infrastructure
0x0000000000095413afc295d19edeb1ad7b71c952,Tokenlon: Lon,contracts
0x00000000000970375ff38f05eb9d6db32ae40708,Flashbots User,infrastructure
0x0000000000098341a924bd53454654a0dbbc4e43,Contract Deployer,infrastructure
0x000000000009bc5be74f4d5c9ca57d707169efcc,Opensea User,nft
0x000000000009c0484e27705e9b82131119f7f1ca,Contract Deployer,infrastructure
0x00000000000a01757661bd51345cd95c40320480,Opensea User,nft
0x00000000000a067fb775a27671542d381ba30e53,Contract Deployer,infrastructure
0x00000000000a26583795ee58fd453b34f44989bc,Contract Deployer,infrastructure
0x00000000000a29a0800f6f557ddbbe8249397de7,Contract Deployer,infrastructure
0x00000000000a3e9c8f70ef50a65721e0c4c45fa9,Opensea User,nft
0x00000000000a40322164e8b9e1b909c388bf8317,Contract Deployer,infrastructure
0x00000000000a47b1298f18cf67de547bbe0d723f,Aave v2 Flashloan User,infrastructure
0x00000000000a486c964069bb7390ae37010a04ca,3gmdog.eth,social
0x00000000000a57bb4d92ee6ea45548248f79ebfe,Tornado Cash Recipient,tornado_cash
0x00000000000a59c8d4c548a43660a8950a542a71,Across Bridge User,bridge
0x00000000000a6d473a66abe3dbaab9e1388223bd,Opensea User,nft
0x00000000000a78c8727b6ae386f004e7e37a4875,9188.eth,social
0x00000000000a7ac00e45b62ff0d9d224c04e5c54,Flashbots User,infrastructure
0x00000000000a8111c431de6f303ab4b4e983c28f,Flashbots User,infrastructure
0x00000000000a93ddd65c4daa1d7160f2207842c4,Opensea User,nft
0x00000000000af08fc0d15be221c86cc2d90deb09,Gnosis_safe: SafeL2_v1_3_0,contracts
0x00000000000b0019f59be46674d846cd54c21fe2,felicis.eth,social
0x00000000000b186ebef1ac9a27c7eb16687ac2a9,0x7768616c65.eth,social
0x00000000000b1e124dd1bb52956957ee74ebb043,Contract Deployer,infrastructure
0x00000000000b2c12907f8cf9ac0f60d022baa38d,Contract Deployer,infrastructure
0x00000000000b383072a2fa0465f41a930ea1bd5f,Contract Deployer,infrastructure
0x00000000000b4bdf11195d2a010c32a91b8af06a,Contract Deployer,infrastructure
0x00000000000b69ec332f49b7c4d2b101f93c3bed,Flashbots User,infrastructure
0x00000000000b6ea191e0e4d1dac2601dab5cdf25,"Opensea, X2y2 User",nft
0x00000000000ba9cd9f5175108141a82b6c24d727,Balancer v2 Flashloan User,infrastructure
0x00000000000bc067b8c5a5dacab33e03d7019279,Contract Deployer,infrastructure
0x00000000000be4d9faacf7f669f25118b1736666,Trove User,nft
0x00000000000bf731925323195120e7d4c045c35e,Aave v3 Flashloan User,infrastructure
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,Ethereumnameservice: BaseRegistrarImplementation,contracts
0x00000000000c480032486921e7ced20e4727f00e,3xploit.eth,social
0x00000000000c6079eccc0a7a2e6ea5328c9bc783,Contract Deployer,infrastructure
0x00000000000c66b8cb2836c3620f88a9c812d208,Flashbots User,infrastructure
0x00000000000ca7834470ed1f45f7d910faae8140,Opensea User,nft
0x00000000000cba43ae9379e73c0ccb4e08d7ed30,Contract Deployer,infrastructure
0x00000000000cc7ba78e64e86b2bd59b1ae7f569e,Astaria: Starport,contracts
0x00000000000cd56832ce5dfbcbff02e7ec639bc9,Contract Deployer,infrastructure
0x00000000000cddb180a2efccab63d7d224e40b95,Contract Deployer,infrastructure
0x00000000000d3b4ea88f9b3fe809d386b86f5898,Contract Deployer,infrastructure
0x00000000000d86e4837ba41dacde4b8713d5ccac,0xneves.eth,social
0x00000000000d9c2f60d8e82f2d1c2bed5008dd7d,Yetifinance: TroveManagerRedemptions,contracts
0x00000000000dc7f163742eb4abef650037b1f588,Zodiac: ModuleProxyFactory,contracts
0x00000000000dcde08653ba4811f11b8710e15e20,Opensea User,nft
0x00000000000dea4728c92021a0c54ea8c37ac9cc,Across Bridge User,bridge
